driver_actions,objects_in_scene,hand_on_gear,hands_using_wheel,talking,gaze_on_road,eyes_state,yawning,road_type,weather,time_of_day,traffic_density,car_speed,risk_score
safe_drive,none,NA,both,not_talking,looking_road,open,not_yawning,highway,fog,morning,medium,severe_over,0.27
safe_drive,none,NA,both,not_talking,looking_road,opening,not_yawning,urban,fog,afternoon,high,under,0.266
safe_drive,none,NA,hand_on_gear,not_talking,looking_road,open,not_yawning,urban,clear,afternoon,high,severe_over,0.23
safe_drive,none,NA,hand_on_gear,not_talking,looking_road,opening,not_yawning,highway,fog,evening,high,under,0.311
standstill_or_waiting,none,NA,both,talking,looking_road,close,NA,highway,snow,afternoon,medium,under,0.352
standstill_or_waiting,none,NA,both,talking,looking_road,closing,NA,highway,clear,afternoon,medium,over,0.295
standstill_or_waiting,none,NA,both,talking,looking_road,open,NA,highway,clear,evening,medium,under,0.225
standstill_or_waiting,none,NA,both,talking,looking_road,opening,NA,highway,rain,morning,high,none,0.258
standstill_or_waiting,none,NA,both,talking,looking_road,undefined,NA,urban,clear,evening,high,severe_over,0.316
standstill_or_waiting,none,NA,both,talking,not_looking_road,close,NA,highway,clear,evening,high,severe_over,0.471
standstill_or_waiting,none,NA,both,talking,not_looking_road,closing,NA,highway,fog,morning,high,severe_over,0.492
standstill_or_waiting,none,NA,both,talking,not_looking_road,open,NA,highway,fog,evening,high,severe_over,0.467
standstill_or_waiting,none,NA,both,talking,not_looking_road,opening,NA,urban,rain,morning,medium,severe_over,0.389
standstill_or_waiting,none,NA,both,talking,not_looking_road,undefined,NA,urban,rain,morning,high,severe_over,0.414
standstill_or_waiting,none,NA,both,not_talking,looking_road,close,NA,urban,snow,evening,high,severe_over,0.398
standstill_or_waiting,none,NA,both,not_talking,looking_road,closing,NA,rural,clear,morning,high,severe_over,0.258
standstill_or_waiting,none,NA,both,not_talking,looking_road,open,NA,highway,clear,afternoon,high,none,0.172
standstill_or_waiting,none,NA,both,not_talking,looking_road,opening,NA,rural,clear,afternoon,high,severe_over,0.246
standstill_or_waiting,none,NA,both,not_talking,looking_road,undefined,NA,highway,rain,afternoon,high,none,0.246
standstill_or_waiting,none,NA,both,not_talking,not_looking_road,close,NA,highway,fog,evening,high,under,0.443
standstill_or_waiting,none,NA,both,not_talking,not_looking_road,closing,NA,highway,clear,night,low,over,0.385
standstill_or_waiting,none,NA,both,not_talking,not_looking_road,open,NA,highway,snow,night,high,under,0.418
standstill_or_waiting,none,NA,both,not_talking,not_looking_road,opening,NA,highway,clear,evening,high,severe_over,0.406
standstill_or_waiting,none,NA,both,not_talking,not_looking_road,undefined,NA,urban,rain,afternoon,high,none,0.32
standstill_or_waiting,none,NA,both,Yawning,looking_road,close,NA,highway,clear,afternoon,high,severe_over,0.32
standstill_or_waiting,none,NA,both,Yawning,looking_road,closing,NA,highway,snow,afternoon,low,severe_over,0.361
standstill_or_waiting,none,NA,both,Yawning,looking_road,open,NA,highway,rain,morning,high,severe_over,0.275
standstill_or_waiting,none,NA,both,Yawning,looking_road,opening,NA,highway,rain,afternoon,high,none,0.246
standstill_or_waiting,none,NA,both,Yawning,looking_road,undefined,NA,highway,rain,morning,medium,under,0.225
standstill_or_waiting,none,NA,both,Yawning,not_looking_road,close,NA,urban,snow,night,high,severe_over,0.516
standstill_or_waiting,none,NA,both,Yawning,not_looking_road,closing,NA,urban,snow,morning,medium,severe_over,0.43
standstill_or_waiting,none,NA,both,Yawning,not_looking_road,open,NA,highway,clear,evening,medium,over,0.316
standstill_or_waiting,none,NA,both,Yawning,not_looking_road,opening,NA,highway,fog,evening,high,severe_over,0.467
standstill_or_waiting,none,NA,both,Yawning,not_looking_road,undefined,NA,highway,rain,morning,high,severe_over,0.406
standstill_or_waiting,none,NA,none,talking,looking_road,close,NA,highway,clear,evening,medium,none,0.43
standstill_or_waiting,none,NA,none,talking,looking_road,closing,NA,highway,rain,evening,low,severe_over,0.537
standstill_or_waiting,none,NA,none,talking,looking_road,open,NA,highway,snow,afternoon,medium,under,0.451
standstill_or_waiting,none,NA,none,talking,looking_road,opening,NA,rural,rain,evening,high,severe_over,0.504
standstill_or_waiting,none,NA,none,talking,looking_road,undefined,NA,highway,snow,afternoon,medium,under,0.484
standstill_or_waiting,none,NA,none,talking,not_looking_road,close,NA,highway,rain,morning,high,severe_over,0.635
standstill_or_waiting,none,NA,none,talking,not_looking_road,closing,NA,highway,clear,evening,high,under,0.578
standstill_or_waiting,none,NA,none,talking,not_looking_road,open,NA,highway,rain,morning,high,severe_over,0.57
standstill_or_waiting,none,NA,none,talking,not_looking_road,opening,NA,urban,clear,morning,high,severe_over,0.537
standstill_or_waiting,none,NA,none,talking,not_looking_road,undefined,NA,highway,clear,morning,high,severe_over,0.561
standstill_or_waiting,none,NA,none,not_talking,looking_road,close,NA,highway,clear,morning,medium,none,0.357
standstill_or_waiting,none,NA,none,not_talking,looking_road,closing,NA,urban,rain,morning,medium,under,0.398
standstill_or_waiting,none,NA,none,not_talking,looking_road,open,NA,highway,fog,morning,medium,under,0.377
standstill_or_waiting,none,NA,none,not_talking,looking_road,opening,NA,urban,snow,evening,high,none,0.447
standstill_or_waiting,none,NA,none,not_talking,looking_road,undefined,NA,urban,fog,morning,low,severe_over,0.426
standstill_or_waiting,none,NA,none,not_talking,not_looking_road,close,NA,highway,rain,morning,high,severe_over,0.602
standstill_or_waiting,none,NA,none,not_talking,not_looking_road,closing,NA,highway,fog,morning,high,severe_over,0.623
standstill_or_waiting,none,NA,none,not_talking,not_looking_road,open,NA,highway,fog,morning,low,severe_over,0.516
standstill_or_waiting,none,NA,none,not_talking,not_looking_road,opening,NA,urban,rain,evening,high,severe_over,0.586
standstill_or_waiting,none,NA,none,not_talking,not_looking_road,undefined,NA,highway,rain,evening,medium,under,0.529
standstill_or_waiting,none,NA,none,Yawning,looking_road,close,NA,highway,snow,evening,high,severe_over,0.586
standstill_or_waiting,none,NA,none,Yawning,looking_road,closing,NA,highway,rain,evening,high,under,0.488
standstill_or_waiting,none,NA,none,Yawning,looking_road,open,NA,highway,rain,afternoon,high,under,0.402
standstill_or_waiting,none,NA,none,Yawning,looking_road,opening,NA,urban,fog,evening,low,severe_over,0.467
standstill_or_waiting,none,NA,none,Yawning,looking_road,undefined,NA,highway,rain,evening,medium,none,0.406
standstill_or_waiting,none,NA,none,Yawning,not_looking_road,close,NA,highway,clear,night,low,under,0.525
standstill_or_waiting,none,NA,none,Yawning,not_looking_road,closing,NA,highway,clear,evening,low,over,0.529
standstill_or_waiting,none,NA,none,Yawning,not_looking_road,open,NA,rural,fog,afternoon,medium,none,0.43
standstill_or_waiting,none,NA,none,Yawning,not_looking_road,opening,NA,highway,clear,afternoon,high,none,0.467
standstill_or_waiting,none,NA,none,Yawning,not_looking_road,undefined,NA,urban,clear,afternoon,high,severe_over,0.525
standstill_or_waiting,none,NA,only_left,talking,looking_road,close,NA,highway,rain,afternoon,high,severe_over,0.41
standstill_or_waiting,none,NA,only_left,talking,looking_road,closing,NA,highway,clear,afternoon,high,severe_over,0.369
standstill_or_waiting,none,NA,only_left,talking,looking_road,open,NA,highway,snow,afternoon,medium,none,0.279
standstill_or_waiting,none,NA,only_left,talking,looking_road,opening,NA,highway,clear,morning,medium,none,0.209
standstill_or_waiting,none,NA,only_left,talking,looking_road,undefined,NA,urban,rain,morning,high,severe_over,0.332
standstill_or_waiting,none,NA,only_left,talking,not_looking_road,close,NA,highway,fog,evening,high,severe_over,0.549
standstill_or_waiting,none,NA,only_left,talking,not_looking_road,closing,NA,urban,clear,morning,medium,over,0.365
standstill_or_waiting,none,NA,only_left,talking,not_looking_road,open,NA,highway,rain,afternoon,high,under,0.385
standstill_or_waiting,none,NA,only_left,talking,not_looking_road,opening,NA,highway,clear,afternoon,high,under,0.377
standstill_or_waiting,none,NA,only_left,talking,not_looking_road,undefined,NA,urban,clear,evening,high,none,0.348
standstill_or_waiting,none,NA,only_left,not_talking,looking_road,close,NA,highway,rain,evening,high,severe_over,0.398
standstill_or_waiting,none,NA,only_left,not_talking,looking_road,closing,NA,rural,clear,evening,high,under,0.258
standstill_or_waiting,none,NA,only_left,not_talking,looking_road,open,NA,highway,clear,morning,high,severe_over,0.25
standstill_or_waiting,none,NA,only_left,not_talking,looking_road,opening,NA,highway,fog,evening,high,under,0.328
standstill_or_waiting,none,NA,only_left,not_talking,looking_road,undefined,NA,highway,rain,morning,high,under,0.266
standstill_or_waiting,none,NA,only_left,not_talking,not_looking_road,close,NA,urban,clear,morning,medium,severe_over,0.365
standstill_or_waiting,none,NA,only_left,not_talking,not_looking_road,closing,NA,highway,rain,evening,high,under,0.439
standstill_or_waiting,none,NA,only_left,not_talking,not_looking_road,open,NA,highway,clear,afternoon,medium,over,0.311
standstill_or_waiting,none,NA,only_left,not_talking,not_looking_road,opening,NA,urban,clear,evening,high,severe_over,0.398
standstill_or_waiting,none,NA,only_left,not_talking,not_looking_road,undefined,NA,highway,fog,evening,high,severe_over,0.484
standstill_or_waiting,none,NA,only_left,Yawning,looking_road,close,NA,urban,rain,afternoon,high,severe_over,0.352
